event_type,timestamp,system_score,severity,behavioral_anomaly_flag,external_connection_flag,unknown_process_flag,sensitive_access_flag,label,process_name,parent_process,cpu_percent,memory_mb,cpu_zscore,memory_zscore,parent_child_rarity,cmd_entropy,process_freq_5min,is_known_binary,remote_ip,remote_port,is_private_ip,is_known_ip,connection_freq_1min,unique_ip_5min,port_risk,file_path,file_action,file_extension,is_sensitive_path,is_executable,file_freq_1min,file_rarity
network,2026-03-25 00:02:20,2,0,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,80.0,1.0,0.0,11.0,7.0,0.54,,,,,,,
process,2026-03-25 00:02:20,2,2,0,0,0,0,0,postgres.exe,cmd.exe,66.54,56.19,2.17,2.73,0.58,1.0,9.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:20,2,0,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,443.0,0.0,1.0,24.0,4.0,0.6,,,,,,,
process,2026-03-25 00:02:20,3,1,1,0,0,0,1,chrome.exe,explorer.exe,27.45,254.09,2.86,0.34,0.51,3.81,12.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:21,2,2,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,4444.0,0.0,0.0,15.0,11.0,0.34,,,,,,,
process,2026-03-25 00:02:21,1,1,0,0,0,0,0,python.exe,pg_ctl.exe,94.08,313.43,0.19,1.02,0.62,0.78,4.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:21,3,2,1,0,0,0,1,python.exe,pg_ctl.exe,62.87,257.39,2.81,2.65,0.74,4.46,11.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:21,3,1,1,0,0,0,1,chrome.exe,pg_ctl.exe,37.14,473.88,0.27,1.59,0.04,1.91,14.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:22,2,0,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,443.0,1.0,0.0,5.0,14.0,0.57,,,,,,,
file,2026-03-25 00:02:22,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,conf,1.0,1.0,2.0,0.36
file,2026-03-25 00:02:22,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,conf,1.0,1.0,5.0,0.99
network,2026-03-25 00:02:22,2,2,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,80.0,1.0,0.0,25.0,14.0,0.94,,,,,,,
file,2026-03-25 00:02:23,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,txt,1.0,1.0,3.0,0.83
file,2026-03-25 00:02:23,4,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,created,exe,0.0,1.0,6.0,0.27
process,2026-03-25 00:02:23,1,2,0,0,0,0,0,chrome.exe,cmd.exe,78.58,107.48,0.84,0.2,0.54,1.18,5.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:23,3,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,modified,conf,0.0,1.0,8.0,0.87
file,2026-03-25 00:02:24,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,txt,1.0,1.0,17.0,0.84
file,2026-03-25 00:02:24,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,conf,0.0,1.0,19.0,0.57
network,2026-03-25 00:02:24,1,1,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,4444.0,1.0,0.0,21.0,7.0,0.98,,,,,,,
file,2026-03-25 00:02:24,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,created,txt,1.0,1.0,17.0,0.75
process,2026-03-25 00:02:25,2,2,0,0,0,0,0,python.exe,explorer.exe,6.63,253.27,2.96,0.55,0.66,1.84,5.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:25,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,exe,1.0,1.0,9.0,0.75
network,2026-03-25 00:02:25,3,0,0,1,1,0,1,chrome.exe,,,,,,,,,,8.8.8.8,443.0,0.0,0.0,22.0,3.0,0.52,,,,,,,
file,2026-03-25 00:02:25,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,exe,0.0,1.0,17.0,0.68
file,2026-03-25 00:02:26,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,txt,1.0,1.0,18.0,0.97
network,2026-03-25 00:02:26,1,1,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,80.0,0.0,1.0,10.0,9.0,0.1,,,,,,,
network,2026-03-25 00:02:26,3,0,0,1,1,0,1,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,80.0,0.0,1.0,3.0,9.0,0.86,,,,,,,
network,2026-03-25 00:02:26,1,0,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,443.0,0.0,0.0,13.0,3.0,0.64,,,,,,,
file,2026-03-25 00:02:27,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,conf,0.0,1.0,13.0,0.77
network,2026-03-25 00:02:27,1,0,0,0,0,0,0,chrome.exe,,,,,,,,,,192.168.1.1,80.0,1.0,0.0,20.0,4.0,0.24,,,,,,,
network,2026-03-25 00:02:27,4,1,0,1,1,0,1,chrome.exe,,,,,,,,,,8.8.8.8,4444.0,1.0,1.0,7.0,6.0,0.42,,,,,,,
network,2026-03-25 00:02:27,3,1,0,1,1,0,1,unknown,,,,,,,,,,8.8.8.8,4444.0,0.0,0.0,19.0,4.0,0.02,,,,,,,
network,2026-03-25 00:02:28,2,2,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,4444.0,0.0,1.0,12.0,4.0,0.29,,,,,,,
process,2026-03-25 00:02:28,3,2,1,0,0,0,1,chrome.exe,explorer.exe,76.76,313.95,1.66,2.39,0.22,0.73,12.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:28,3,0,1,0,0,0,1,python.exe,pg_ctl.exe,95.97,253.5,1.33,1.51,0.83,4.9,6.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:28,3,0,1,0,0,0,1,chrome.exe,cmd.exe,58.48,41.91,2.49,0.47,1.0,1.77,1.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:29,3,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,exe,0.0,0.0,6.0,0.49
process,2026-03-25 00:02:29,3,1,1,0,0,0,1,postgres.exe,cmd.exe,74.6,409.8,0.23,2.24,0.16,1.67,18.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:29,3,1,1,0,0,0,1,chrome.exe,cmd.exe,95.31,10.99,1.25,2.61,0.16,2.96,10.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:29,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,exe,0.0,1.0,10.0,0.52
network,2026-03-25 00:02:30,0,1,0,0,0,0,0,chrome.exe,,,,,,,,,,192.168.1.1,443.0,1.0,0.0,23.0,10.0,0.86,,,,,,,
network,2026-03-25 00:02:30,0,1,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,4444.0,0.0,1.0,22.0,3.0,0.47,,,,,,,
file,2026-03-25 00:02:30,4,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,conf,0.0,0.0,9.0,0.63
process,2026-03-25 00:02:30,4,2,1,0,0,0,1,postgres.exe,cmd.exe,40.61,157.08,0.01,0.54,0.5,4.14,17.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:31,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,txt,1.0,1.0,6.0,0.05
file,2026-03-25 00:02:31,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,txt,0.0,0.0,19.0,0.56
network,2026-03-25 00:02:31,3,1,0,1,1,0,1,unknown,,,,,,,,,,192.168.1.1,4444.0,0.0,0.0,2.0,6.0,0.63,,,,,,,
process,2026-03-25 00:02:31,2,1,0,0,0,0,0,chrome.exe,cmd.exe,67.61,426.62,1.19,1.68,0.8,0.52,5.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:32,1,2,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,8080.0,1.0,0.0,21.0,4.0,0.13,,,,,,,
file,2026-03-25 00:02:32,3,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,exe,0.0,1.0,8.0,0.78
process,2026-03-25 00:02:32,2,1,0,0,0,0,0,python.exe,explorer.exe,23.54,96.67,0.29,0.99,0.62,4.48,3.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:32,1,0,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,80.0,1.0,0.0,3.0,11.0,0.31,,,,,,,
file,2026-03-25 00:02:33,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,exe,0.0,1.0,20.0,0.09
file,2026-03-25 00:02:33,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,txt,0.0,1.0,20.0,0.47
file,2026-03-25 00:02:33,3,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,txt,0.0,1.0,16.0,0.25
network,2026-03-25 00:02:33,3,2,0,1,1,0,1,unknown,,,,,,,,,,8.8.8.8,8080.0,1.0,1.0,28.0,12.0,0.33,,,,,,,
process,2026-03-25 00:02:34,2,0,0,0,0,0,0,postgres.exe,explorer.exe,74.24,39.8,0.54,1.21,0.72,3.32,18.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:34,0,0,0,0,0,0,0,chrome.exe,cmd.exe,85.53,266.21,1.9,1.77,0.72,2.9,3.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:34,1,2,0,0,0,0,0,python.exe,pg_ctl.exe,46.87,255.56,1.61,1.98,0.96,0.87,4.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:34,4,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,conf,1.0,1.0,14.0,0.95
network,2026-03-25 00:02:35,4,0,0,1,1,0,1,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,443.0,1.0,1.0,23.0,7.0,0.35,,,,,,,
network,2026-03-25 00:02:35,1,1,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,4444.0,0.0,0.0,18.0,13.0,0.77,,,,,,,
network,2026-03-25 00:02:35,0,0,0,0,0,0,0,chrome.exe,,,,,,,,,,192.168.1.1,8080.0,1.0,1.0,23.0,2.0,0.26,,,,,,,
file,2026-03-25 00:02:35,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,exe,1.0,0.0,11.0,0.73
process,2026-03-25 00:02:36,4,2,1,0,0,0,1,python.exe,explorer.exe,50.7,420.73,1.3,0.87,0.91,3.9,5.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:36,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,txt,0.0,1.0,4.0,0.62
network,2026-03-25 00:02:36,4,2,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,80.0,1.0,1.0,22.0,10.0,0.98,,,,,,,
process,2026-03-25 00:02:36,4,1,1,0,0,0,1,python.exe,explorer.exe,71.69,121.21,0.48,1.4,0.1,0.01,4.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:37,0,0,0,0,0,0,0,postgres.exe,explorer.exe,84.78,306.17,2.83,2.33,0.12,1.9,8.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:37,2,1,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,80.0,1.0,0.0,20.0,12.0,0.88,,,,,,,
network,2026-03-25 00:02:37,4,2,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,80.0,1.0,0.0,23.0,7.0,0.96,,,,,,,
process,2026-03-25 00:02:37,1,1,0,0,0,0,0,chrome.exe,pg_ctl.exe,66.44,18.61,0.78,0.54,0.24,2.29,19.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:38,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,exe,0.0,0.0,13.0,0.74
process,2026-03-25 00:02:38,4,0,1,0,0,0,1,postgres.exe,cmd.exe,62.92,88.37,2.91,0.22,0.32,0.18,11.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:38,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,txt,1.0,1.0,17.0,0.79
process,2026-03-25 00:02:38,4,1,1,0,0,0,1,chrome.exe,explorer.exe,68.61,404.7,1.51,2.3,0.93,3.9,17.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:39,3,1,1,0,0,0,1,postgres.exe,explorer.exe,7.54,158.38,1.11,2.02,0.55,0.57,5.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:39,1,0,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,8080.0,0.0,1.0,10.0,5.0,0.33,,,,,,,
file,2026-03-25 00:02:39,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,created,exe,0.0,0.0,10.0,0.45
file,2026-03-25 00:02:39,3,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,exe,0.0,0.0,10.0,0.74
process,2026-03-25 00:02:40,2,2,0,0,0,0,0,postgres.exe,pg_ctl.exe,86.47,469.06,0.86,0.65,0.28,2.76,10.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:40,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,conf,1.0,1.0,19.0,0.14
network,2026-03-25 00:02:40,1,0,0,0,0,0,0,chrome.exe,,,,,,,,,,192.168.1.1,443.0,1.0,0.0,19.0,6.0,0.14,,,,,,,
process,2026-03-25 00:02:40,0,2,0,0,0,0,0,postgres.exe,cmd.exe,39.94,277.82,1.33,1.24,0.1,1.14,9.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:41,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,txt,0.0,0.0,11.0,0.83
file,2026-03-25 00:02:41,3,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,created,conf,1.0,0.0,10.0,0.8
network,2026-03-25 00:02:41,3,0,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,443.0,0.0,0.0,7.0,7.0,0.7,,,,,,,
network,2026-03-25 00:02:41,1,2,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,443.0,1.0,1.0,17.0,10.0,0.3,,,,,,,
process,2026-03-25 00:02:42,0,2,0,0,0,0,0,chrome.exe,cmd.exe,45.55,224.21,2.47,1.25,0.49,0.53,20.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:42,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,txt,1.0,1.0,15.0,0.74
file,2026-03-25 00:02:42,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,modified,exe,1.0,0.0,9.0,0.88
file,2026-03-25 00:02:42,3,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,exe,1.0,1.0,10.0,0.79
file,2026-03-25 00:02:43,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,conf,0.0,1.0,6.0,0.63
network,2026-03-25 00:02:43,1,1,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,8080.0,1.0,1.0,20.0,3.0,0.43,,,,,,,
process,2026-03-25 00:02:43,4,0,1,0,0,0,1,postgres.exe,pg_ctl.exe,88.61,378.69,2.81,1.05,0.92,2.93,7.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:43,4,0,0,1,1,0,1,chrome.exe,,,,,,,,,,192.168.1.1,80.0,1.0,1.0,14.0,13.0,0.08,,,,,,,
file,2026-03-25 00:02:44,3,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,modified,exe,0.0,0.0,7.0,0.2
file,2026-03-25 00:02:44,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,modified,conf,0.0,0.0,20.0,0.01
network,2026-03-25 00:02:44,1,1,0,0,0,0,0,unknown,,,,,,,,,,2a04:4e42:8e::684,8080.0,0.0,1.0,17.0,7.0,0.38,,,,,,,
process,2026-03-25 00:02:44,4,0,1,0,0,0,1,chrome.exe,pg_ctl.exe,25.41,453.68,0.79,1.63,0.07,4.45,15.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:45,4,2,0,1,1,0,1,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,80.0,0.0,0.0,9.0,11.0,0.23,,,,,,,
file,2026-03-25 00:02:45,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,created,conf,0.0,1.0,14.0,0.44
process,2026-03-25 00:02:45,4,0,1,0,0,0,1,chrome.exe,cmd.exe,2.31,378.23,0.72,2.57,0.32,4.06,5.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:45,4,0,1,0,0,0,1,python.exe,explorer.exe,30.27,404.9,0.61,1.38,0.34,4.14,15.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:46,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,created,conf,0.0,1.0,16.0,0.7
network,2026-03-25 00:02:46,4,2,0,1,1,0,1,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,4444.0,1.0,0.0,26.0,6.0,0.7,,,,,,,
file,2026-03-25 00:02:46,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,conf,0.0,1.0,6.0,0.99
file,2026-03-25 00:02:46,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,txt,1.0,0.0,18.0,0.36
network,2026-03-25 00:02:47,4,2,0,1,1,0,1,unknown,,,,,,,,,,8.8.8.8,443.0,1.0,1.0,3.0,13.0,0.48,,,,,,,
network,2026-03-25 00:02:47,0,0,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,443.0,1.0,0.0,27.0,15.0,0.53,,,,,,,
process,2026-03-25 00:02:47,0,0,0,0,0,0,0,python.exe,cmd.exe,15.9,101.36,2.58,2.43,0.61,3.07,17.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:47,0,1,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,80.0,0.0,0.0,1.0,1.0,0.59,,,,,,,
network,2026-03-25 00:02:48,3,0,0,1,1,0,1,unknown,,,,,,,,,,8.8.8.8,4444.0,1.0,1.0,13.0,15.0,0.95,,,,,,,
file,2026-03-25 00:02:48,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,exe,0.0,1.0,2.0,0.14
file,2026-03-25 00:02:48,3,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,exe,0.0,0.0,16.0,0.46
network,2026-03-25 00:02:48,0,2,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,8080.0,1.0,0.0,9.0,10.0,0.27,,,,,,,
file,2026-03-25 00:02:49,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,modified,conf,1.0,1.0,11.0,0.0
network,2026-03-25 00:02:49,4,0,0,1,1,0,1,chrome.exe,,,,,,,,,,8.8.8.8,443.0,1.0,1.0,29.0,5.0,0.56,,,,,,,
file,2026-03-25 00:02:49,3,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,txt,1.0,1.0,1.0,0.73
file,2026-03-25 00:02:49,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,modified,conf,0.0,0.0,6.0,0.41
network,2026-03-25 00:02:50,1,2,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,80.0,0.0,1.0,29.0,11.0,0.43,,,,,,,
file,2026-03-25 00:02:50,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,exe,0.0,1.0,15.0,0.58
network,2026-03-25 00:02:50,3,2,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,443.0,1.0,1.0,23.0,9.0,0.6,,,,,,,
file,2026-03-25 00:02:50,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,txt,1.0,1.0,18.0,0.52
file,2026-03-25 00:02:51,3,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,conf,0.0,0.0,2.0,0.97
process,2026-03-25 00:02:51,2,0,0,0,0,0,0,python.exe,cmd.exe,53.38,50.35,0.53,1.02,0.68,4.43,17.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:51,4,1,0,1,1,0,1,chrome.exe,,,,,,,,,,8.8.8.8,80.0,1.0,1.0,8.0,4.0,0.83,,,,,,,
network,2026-03-25 00:02:51,4,1,0,1,1,0,1,unknown,,,,,,,,,,192.168.1.1,443.0,1.0,1.0,12.0,3.0,0.18,,,,,,,
file,2026-03-25 00:02:52,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,modified,txt,1.0,1.0,4.0,0.82
network,2026-03-25 00:02:52,4,1,0,1,1,0,1,unknown,,,,,,,,,,192.168.1.1,8080.0,1.0,0.0,21.0,7.0,0.32,,,,,,,
file,2026-03-25 00:02:52,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,exe,1.0,0.0,17.0,0.15
network,2026-03-25 00:02:52,2,0,0,0,0,0,0,chrome.exe,,,,,,,,,,192.168.1.1,8080.0,1.0,1.0,25.0,10.0,0.0,,,,,,,
process,2026-03-25 00:02:53,0,0,0,0,0,0,0,python.exe,pg_ctl.exe,25.11,31.95,1.75,2.89,0.44,1.45,13.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:53,0,0,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,443.0,1.0,1.0,21.0,11.0,0.78,,,,,,,
network,2026-03-25 00:02:53,4,2,0,1,1,0,1,chrome.exe,,,,,,,,,,8.8.8.8,443.0,1.0,0.0,26.0,15.0,0.23,,,,,,,
process,2026-03-25 00:02:53,3,0,1,0,0,0,1,python.exe,pg_ctl.exe,9.06,79.0,1.31,0.67,0.63,1.85,9.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:54,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,conf,0.0,1.0,17.0,0.88
process,2026-03-25 00:02:54,1,1,0,0,0,0,0,postgres.exe,cmd.exe,10.57,161.58,2.29,2.15,0.48,1.21,9.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:54,0,2,0,0,0,0,0,chrome.exe,,,,,,,,,,192.168.1.1,8080.0,1.0,1.0,1.0,8.0,0.28,,,,,,,
network,2026-03-25 00:02:54,2,2,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,4444.0,1.0,1.0,19.0,11.0,0.18,,,,,,,
process,2026-03-25 00:02:55,4,1,1,0,0,0,1,python.exe,cmd.exe,77.55,187.34,0.12,2.67,0.3,0.48,11.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:55,2,0,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,80.0,1.0,0.0,29.0,14.0,0.6,,,,,,,
file,2026-03-25 00:02:55,4,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,created,txt,1.0,1.0,20.0,0.47
process,2026-03-25 00:02:55,3,0,1,0,0,0,1,python.exe,cmd.exe,76.96,156.02,1.71,1.29,0.57,3.9,14.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:56,0,0,0,0,0,0,0,chrome.exe,cmd.exe,16.28,135.95,0.28,0.11,1.0,0.74,6.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:56,3,1,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,443.0,1.0,0.0,17.0,13.0,0.52,,,,,,,
process,2026-03-25 00:02:56,2,1,0,0,0,0,0,postgres.exe,pg_ctl.exe,17.57,149.03,1.56,1.23,0.31,0.09,16.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:56,3,2,1,0,0,0,1,python.exe,explorer.exe,22.73,145.21,0.8,0.13,0.34,4.75,2.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:57,3,2,1,0,0,0,1,chrome.exe,cmd.exe,84.81,10.15,1.32,2.69,0.62,2.22,4.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:57,0,0,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,4444.0,0.0,1.0,30.0,8.0,0.39,,,,,,,
file,2026-03-25 00:02:57,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,created,txt,0.0,0.0,10.0,0.13
file,2026-03-25 00:02:57,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,txt,0.0,0.0,4.0,0.91
file,2026-03-25 00:02:58,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,modified,exe,0.0,1.0,8.0,0.23
process,2026-03-25 00:02:58,4,0,1,0,0,0,1,python.exe,pg_ctl.exe,89.56,359.62,2.01,3.0,0.96,1.55,12.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:58,3,1,1,0,0,0,1,python.exe,cmd.exe,96.22,370.65,2.87,0.99,0.27,0.94,19.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:02:58,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,conf,1.0,1.0,16.0,0.54
process,2026-03-25 00:02:59,3,2,1,0,0,0,1,chrome.exe,pg_ctl.exe,19.61,150.33,2.03,1.93,0.18,2.79,5.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:02:59,1,2,0,0,0,0,0,chrome.exe,,,,,,,,,,192.168.1.1,4444.0,0.0,1.0,12.0,8.0,0.35,,,,,,,
process,2026-03-25 00:02:59,1,1,0,0,0,0,0,postgres.exe,explorer.exe,12.9,352.03,2.19,2.46,0.3,2.12,2.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:02:59,2,1,0,0,0,0,0,chrome.exe,pg_ctl.exe,76.39,458.52,2.28,2.22,0.48,2.27,3.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:03:00,2,2,0,0,0,0,0,chrome.exe,explorer.exe,70.25,407.62,0.21,1.59,0.97,4.49,6.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:03:00,0,0,0,0,0,0,0,postgres.exe,pg_ctl.exe,44.43,385.68,2.67,1.2,0.51,4.98,19.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:03:00,4,0,0,1,1,0,1,chrome.exe,,,,,,,,,,8.8.8.8,4444.0,1.0,0.0,15.0,11.0,0.17,,,,,,,
